,problems,best_algorithms
0,C1-DTLZ1,NSDE_3 AGE_3
1,C1-DTLZ3,GDE3_3 NSGA2_3 AGE_3 SPEA2_3 NSDE_3 NSDER_3
2,C2-DTLZ2,GDE3_3 NSDE_3 NSGA2_3 AGE_3
3,C3-DTLZ1,GDE3_3 NSGA3_3 CTAEA_3 NSDER_3 NSGA2_3 MOEAD_3 NSDE_3 SPEA2_3 AGE_3
4,C3-DTLZ4,MOEAD_3
5,Convex-C2-DTLZ2,GDE3_3
6,CF1,MOEAD_3
7,CF2,GDE3_3 NSGA3_3 CTAEA_3 NSDER_3 NSGA2_3 NSDE_3 SPEA2_3 AGE_3
8,CF3,SPEA2_3 NSGA3_3 MOEAD_3 CTAEA_3 NSGA2_3 AGE_3 GDE3_3 NSDE_3 NSDER_3
9,CF4,CTAEA_3 MOEAD_3
10,CF5,GDE3_3 NSGA3_3 NSDER_3 NSGA2_3 NSDE_3 SPEA2_3 AGE_3
11,CF6,CTAEA_3 NSDER_3 NSGA2_3 MOEAD_3 SPEA2_3 AGE_3
12,CF7,MOEAD_3
13,DAS-CMOP1,NSGA2_3 AGE_3 SPEA2_3
14,DAS-CMOP2,NSGA2_3 AGE_3
15,DAS-CMOP3,GDE3_3 CTAEA_3 NSDER_3 NSGA2_3 MOEAD_3 NSDE_3 SPEA2_3 AGE_3
16,DAS-CMOP4,SPEA2_3 GDE3_3
17,DAS-CMOP5,GDE3_3
18,DAS-CMOP6,GDE3_3 NSGA3_3 NSDER_3 NSGA2_3 NSDE_3 SPEA2_3 AGE_3
19,DC1-DTLZ1,GDE3_3 NSGA3_3 NSGA2_3 SPEA2_3 AGE_3
20,DC1-DTLZ3,SPEA2_3 GDE3_3 NSGA2_3 AGE_3
21,DC2-DTLZ1,CTAEA_3
22,DC2-DTLZ3,CTAEA_3
23,DC3-DTLZ1,AGE_3 NSGA3_3 NSGA2_3 SPEA2_3 GDE3_3
24,DC3-DTLZ3,AGE_3 NSGA3_3 NSGA2_3 SPEA2_3 GDE3_3
25,CTP1,CTAEA_3 MOEAD_3 NSGA2_3
26,CTP2,GDE3_3 NSGA3_3 NSGA2_3 NSDE_3 SPEA2_3 AGE_3
27,CTP3,GDE3_3 NSGA3_3 CTAEA_3 NSGA2_3 MOEAD_3 NSDE_3 SPEA2_3 AGE_3
28,CTP4,GDE3_3 NSGA3_3 CTAEA_3 NSGA2_3 MOEAD_3 NSDE_3 SPEA2_3 AGE_3
29,CTP5,GDE3_3 NSGA3_3 CTAEA_3 NSGA2_3 MOEAD_3 NSDE_3 AGE_3
30,CTP6,NSGA2_3 NSGA3_3 MOEAD_3 AGE_3 SPEA2_3 GDE3_3
31,CTP7,NSDER_3 GDE3_3
32,CTP8,GDE3_3 NSGA3_3 CTAEA_3 NSGA2_3 MOEAD_3 SPEA2_3 AGE_3
33,MW1,NSDE_3 NSGA2_3 AGE_3 SPEA2_3 GDE3_3 NSDER_3
34,MW2,GDE3_3
35,MW3,SPEA2_3
36,MW5,NSDE_3 MOEAD_3 NSGA2_3 SPEA2_3 GDE3_3 NSDER_3
37,MW6,GDE3_3 NSDE_3
38,MW7,AGE_3 NSGA3_3 NSGA2_3 SPEA2_3
39,MW9,CTAEA_3 NSDER_3 NSGA2_3 MOEAD_3 NSDE_3 SPEA2_3 AGE_3
40,MW10,SPEA2_3 NSGA2_3 AGE_3 NSDE_3
41,MW11,SPEA2_3 MOEAD_3 NSGA2_3
42,MW12,SPEA2_3 NSGA3_3 NSGA2_3 AGE_3
43,MW13,SPEA2_3 NSGA3_3 CTAEA_3 NSGA2_3 AGE_3 GDE3_3 NSDE_3 NSDER_3
44,MW4,GDE3_3
45,MW8,GDE3_3 NSDE_3
46,MW14,NSGA3_3 NSDER_3 NSGA2_3 NSDE_3 SPEA2_3 AGE_3
47,NCTP1,MOEAD_3
48,NCTP2,MOEAD_3
49,NCTP3,MOEAD_3
50,NCTP4,MOEAD_3 NSDER_3
51,NCTP5,MOEAD_3 GDE3_3 NSDE_3
52,NCTP6,MOEAD_3 GDE3_3 NSDE_3 NSDER_3
53,NCTP7,MOEAD_3
54,NCTP8,MOEAD_3 NSDE_3
55,NCTP9,NSDER_3 MOEAD_3 NSDE_3
56,NCTP10,MOEAD_3 GDE3_3 NSDE_3 NSDER_3
57,NCTP11,CTAEA_3 MOEAD_3 NSDER_3
58,NCTP12,MOEAD_3 NSDE_3 NSDER_3
59,NCTP13,NSDER_3 GDE3_3 MOEAD_3 NSDE_3
60,NCTP14,NSDER_3 MOEAD_3 CTAEA_3 GDE3_3 NSDE_3
61,NCTP15,NSDER_3 GDE3_3 MOEAD_3 NSDE_3
62,NCTP16,CTAEA_3 MOEAD_3 NSDE_3 NSDER_3
63,NCTP17,CTAEA_3 MOEAD_3 NSDE_3 NSDER_3
64,NCTP18,CTAEA_3 MOEAD_3 NSDE_3 NSDER_3
